Date,New York Harbor Conventional Gasoline Regular Spot Price FOB (Dollars per Gallon)
6/15/1986,0.42
7/15/1986,0.34
8/15/1986,0.426
9/15/1986,0.42
10/15/1986,0.41
11/15/1986,0.411
12/15/1986,0.434
1/15/1987,0.489
2/15/1987,0.474
3/15/1987,0.509
4/15/1987,0.504
5/15/1987,0.542
6/15/1987,0.557
7/15/1987,0.556
8/15/1987,0.523
9/15/1987,0.518
10/15/1987,0.541
11/15/1987,0.516
12/15/1987,0.454
1/15/1988,0.449
2/15/1988,0.461
3/15/1988,0.452
4/15/1988,0.507
5/15/1988,0.522
6/15/1988,0.518
7/15/1988,0.554
8/15/1988,0.483
9/15/1988,0.466
10/15/1988,0.511
11/15/1988,0.521
12/15/1988,0.472
1/15/1989,0.501
2/15/1989,0.483
3/15/1989,0.547
4/15/1989,0.7
5/15/1989,0.679
6/15/1989,0.637
7/15/1989,0.563
8/15/1989,0.527
9/15/1989,0.593
10/15/1989,0.556
11/15/1989,0.509
12/15/1989,0.541
1/15/1990,0.639
2/15/1990,0.593
3/15/1990,0.556
4/15/1990,0.6
5/15/1990,0.643
6/15/1990,0.646
7/15/1990,0.653
8/15/1990,0.897
9/15/1990,0.997
10/15/1990,0.957
11/15/1990,0.879
12/15/1990,0.679
1/15/1991,0.688
2/15/1991,0.659
3/15/1991,0.723
4/15/1991,0.72
5/15/1991,0.701
6/15/1991,0.635
7/15/1991,0.652
8/15/1991,0.697
9/15/1991,0.621
10/15/1991,0.645
11/15/1991,0.649
12/15/1991,0.555
1/15/1992,0.53
2/15/1992,0.553
3/15/1992,0.571
4/15/1992,0.598
5/15/1992,0.634
6/15/1992,0.645
7/15/1992,0.6
8/15/1992,0.621
9/15/1992,0.618
10/15/1992,0.605
11/15/1992,0.582
12/15/1992,0.533
1/15/1993,0.527
2/15/1993,0.523
3/15/1993,0.54
4/15/1993,0.594
5/15/1993,0.594
6/15/1993,0.548
7/15/1993,0.519
8/15/1993,0.532
9/15/1993,0.486
10/15/1993,0.503
11/15/1993,0.444
12/15/1993,0.376
1/15/1994,0.422
2/15/1994,0.436
3/15/1994,0.441
4/15/1994,0.49
5/15/1994,0.505
6/15/1994,0.528
7/15/1994,0.545
8/15/1994,0.555
9/15/1994,0.464
10/15/1994,0.51
11/15/1994,0.52
12/15/1994,0.468
1/15/1995,0.511
2/15/1995,0.511
3/15/1995,0.504
4/15/1995,0.61
5/15/1995,0.648
6/15/1995,0.596
7/15/1995,0.511
8/15/1995,0.533
9/15/1995,0.561
10/15/1995,0.487
11/15/1995,0.505
12/15/1995,0.534
