Date,New York Harbor Ultra-Low Sulfur No 2 Diesel Spot Price (Dollars per Gallon)
4/15/1996,
5/15/1996,
6/15/1996,
7/15/1996,
8/15/1996,
9/15/1996,
10/15/1996,
11/15/1996,
12/15/1996,
1/15/1997,
2/15/1997,
3/15/1997,
4/15/1997,
5/15/1997,
6/15/1997,
7/15/1997,
8/15/1997,
9/15/1997,
10/15/1997,
11/15/1997,
12/15/1997,
1/15/1998,
2/15/1998,
3/15/1998,
4/15/1998,
5/15/1998,
6/15/1998,
7/15/1998,
8/15/1998,
9/15/1998,
10/15/1998,
11/15/1998,
12/15/1998,
1/15/1999,
2/15/1999,
3/15/1999,
4/15/1999,
5/15/1999,
6/15/1999,
7/15/1999,
8/15/1999,
9/15/1999,
10/15/1999,
11/15/1999,
12/15/1999,
1/15/2000,
2/15/2000,
3/15/2000,
4/15/2000,
5/15/2000,
6/15/2000,
7/15/2000,
8/15/2000,
9/15/2000,
10/15/2000,
11/15/2000,
12/15/2000,
1/15/2001,
2/15/2001,
3/15/2001,
4/15/2001,
5/15/2001,
6/15/2001,
7/15/2001,
8/15/2001,
9/15/2001,
10/15/2001,
11/15/2001,
12/15/2001,
1/15/2002,
2/15/2002,
3/15/2002,
4/15/2002,
5/15/2002,
6/15/2002,
7/15/2002,
8/15/2002,
9/15/2002,
10/15/2002,
11/15/2002,
12/15/2002,
1/15/2003,
2/15/2003,
3/15/2003,
4/15/2003,
5/15/2003,
6/15/2003,
7/15/2003,
8/15/2003,
9/15/2003,
10/15/2003,
11/15/2003,
12/15/2003,
1/15/2004,
2/15/2004,
3/15/2004,
4/15/2004,
5/15/2004,
6/15/2004,
7/15/2004,
8/15/2004,
9/15/2004,
10/15/2004,
11/15/2004,
12/15/2004,
1/15/2005,
2/15/2005,
3/15/2005,
4/15/2005,
5/15/2005,
6/15/2005,
7/15/2005,
8/15/2005,
9/15/2005,
10/15/2005,
11/15/2005,
12/15/2005,
1/15/2006,
2/15/2006,
3/15/2006,
4/15/2006,
5/15/2006,
6/15/2006,2.091
7/15/2006,2.217
8/15/2006,2.247
9/15/2006,1.81
10/15/2006,1.794
11/15/2006,1.811
12/15/2006,1.833
1/15/2007,1.63
2/15/2007,1.759
3/15/2007,1.891
4/15/2007,2.053
5/15/2007,2.044
6/15/2007,2.12
7/15/2007,2.146
8/15/2007,2.106
9/15/2007,2.32
10/15/2007,2.417
11/15/2007,2.7
12/15/2007,2.631
1/15/2008,2.59
2/15/2008,2.774
3/15/2008,3.253
4/15/2008,3.443
5/15/2008,3.821
6/15/2008,3.887
7/15/2008,3.845
8/15/2008,3.273
9/15/2008,3.041
10/15/2008,2.397
11/15/2008,1.923
12/15/2008,1.436
1/15/2009,1.496
2/15/2009,1.306
3/15/2009,1.338
4/15/2009,1.449
5/15/2009,1.52
6/15/2009,1.82
7/15/2009,1.722
8/15/2009,1.927
9/15/2009,1.795
10/15/2009,1.982
11/15/2009,1.998
12/15/2009,1.98
1/15/2010,2.066
2/15/2010,2.035
3/15/2010,2.159
4/15/2010,2.284
5/15/2010,2.136
6/15/2010,2.108
7/15/2010,2.066
8/15/2010,2.122
9/15/2010,2.175
10/15/2010,2.301
11/15/2010,2.377
12/15/2010,2.5
1/15/2011,2.642
2/15/2011,2.84
3/15/2011,3.131
4/15/2011,3.271
5/15/2011,3.035
6/15/2011,3.054
7/15/2011,3.17
8/15/2011,3.01
9/15/2011,2.98
10/15/2011,3.008
11/15/2011,3.095
12/15/2011,2.937
1/15/2012,3.08
2/15/2012,3.223
3/15/2012,3.302
4/15/2012,3.242
5/15/2012,2.987
6/15/2012,2.71
7/15/2012,2.921
8/15/2012,3.179
9/15/2012,3.229
10/15/2012,3.236
11/15/2012,3.18
12/15/2012,3.07
1/15/2013,3.103
2/15/2013,3.237
3/15/2013,3.037
4/15/2013,2.9
5/15/2013,2.888
6/15/2013,2.891
7/15/2013,3.018
8/15/2013,3.068
9/15/2013,3.048
10/15/2013,2.995
11/15/2013,2.938
12/15/2013,3.045
1/15/2014,3.117
2/15/2014,3.227
3/15/2014,2.993
4/15/2014,2.958
5/15/2014,2.936
6/15/2014,2.962
7/15/2014,2.879
8/15/2014,2.85
9/15/2014,2.74
10/15/2014,2.532
11/15/2014,2.43
12/15/2014,2.034
1/15/2015,1.678
2/15/2015,1.991
3/15/2015,1.856
4/15/2015,1.843
5/15/2015,1.965
6/15/2015,1.888
7/15/2015,1.684
8/15/2015,1.516
9/15/2015,1.516
10/15/2015,1.472
11/15/2015,1.413
12/15/2015,1.138
1/15/2016,0.979
2/15/2016,1.036
3/15/2016,1.19
4/15/2016,1.247
5/15/2016,1.423
6/15/2016,1.491
7/15/2016,1.37
8/15/2016,1.399
9/15/2016,1.418
10/15/2016,1.559
11/15/2016,1.463
12/15/2016,1.642
1/15/2017,1.623
2/15/2017,1.624
3/15/2017,1.528
4/15/2017,1.586
5/15/2017,1.514
6/15/2017,1.417
7/15/2017,1.521
8/15/2017,1.631
9/15/2017,1.791
10/15/2017,1.799
11/15/2017,1.916
12/15/2017,1.944
1/15/2018,2.074
2/15/2018,1.937
3/15/2018,1.93
4/15/2018,2.079
5/15/2018,2.23
6/15/2018,2.146
7/15/2018,2.14
8/15/2018,2.153
9/15/2018,2.252
10/15/2018,2.332
11/15/2018,2.048
12/15/2018,1.801
1/15/2019,1.846
2/15/2019,1.962
3/15/2019,1.988
4/15/2019,2.062
5/15/2019,2.031
6/15/2019,1.846
7/15/2019,1.92
8/15/2019,1.824
9/15/2019,1.935
10/15/2019,1.937
11/15/2019,1.933
12/15/2019,1.988
1/15/2020,1.848
2/15/2020,1.622
3/15/2020,1.19
4/15/2020,0.88
5/15/2020,0.887
6/15/2020,1.124
7/15/2020,1.24
8/15/2020,1.226
9/15/2020,1.122
10/15/2020,1.154
11/15/2020,1.241
12/15/2020,1.444
1/15/2021,1.575
2/15/2021,1.788
3/15/2021,1.853
4/15/2021,1.861
5/15/2021,2.024
6/15/2021,2.121
7/15/2021,2.127
8/15/2021,2.068
9/15/2021,2.201
10/15/2021,2.523
11/15/2021,2.391
12/15/2021,2.251
1/15/2022,2.616
2/15/2022,2.872
3/15/2022,3.78
4/15/2022,4.042
5/15/2022,4.646
6/15/2022,4.362
7/15/2022,3.696
8/15/2022,3.596
9/15/2022,3.435
10/15/2022,4.345
11/15/2022,4.063
12/15/2022,3.117
1/15/2023,3.267
2/15/2023,2.832
3/15/2023,2.747
4/15/2023,2.593
5/15/2023,2.346
6/15/2023,2.432
7/15/2023,2.671
8/15/2023,3.117
9/15/2023,3.325
10/15/2023,3.114
11/15/2023,2.905
12/15/2023,2.632
1/15/2024,2.681
2/15/2024,2.771
3/15/2024,2.674
