California Kern River First Purchase Price,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=F005006133&f=M,
20:09:22 GMT+0530 (India Standard Time),
Data source: U.S. Energy Information Administration,
Month,California Kern River First Purchase Price Dollars per Barrel
3/1/2020,31.47
2/1/2020,53.93
1/1/2020,63.23
12/1/2019,64.65
11/1/2019,62.28
10/1/2019,59.93
9/1/2019,60.86
8/1/2019,58.66
7/1/2019,62.73
6/1/2019,61.31
5/1/2019,68.22
4/1/2019,69.17
3/1/2019,64.49
2/1/2019,60.94
1/1/2019,57.27
12/1/2018,53.48
11/1/2018,62.12
10/1/2018,75.65
9/1/2018,
8/1/2018,
7/1/2018,
6/1/2018,
5/1/2018,
4/1/2018,
3/1/2018,
2/1/2018,
1/1/2018,
12/1/2017,
11/1/2017,
10/1/2017,52.02
9/1/2017,49.17
8/1/2017,46.03
7/1/2017,43.1
6/1/2017,41.43
5/1/2017,44.62
4/1/2017,46.9
3/1/2017,45.6
2/1/2017,48.71
1/1/2017,47.73
12/1/2016,46.46
11/1/2016,39.48
10/1/2016,44.21
9/1/2016,39.45
8/1/2016,39.46
7/1/2016,37.1
6/1/2016,40.44
5/1/2016,40.15
4/1/2016,34.66
3/1/2016,31.85
2/1/2016,24.58
1/1/2016,26.39
12/1/2015,31.8
11/1/2015,37.43
10/1/2015,41.31
9/1/2015,42.92
8/1/2015,40.85
7/1/2015,48.18
6/1/2015,56.53
5/1/2015,55.26
4/1/2015,50.32
3/1/2015,44.28
2/1/2015,46.13
1/1/2015,41.97
12/1/2014,52.85
11/1/2014,69.41
10/1/2014,78.35
9/1/2014,89.12
8/1/2014,93.13
7/1/2014,99.38
6/1/2014,103.03
5/1/2014,100.68
4/1/2014,101.28
3/1/2014,100.44
2/1/2014,100.89
1/1/2014,96
12/1/2013,98.96
11/1/2013,93.03
10/1/2013,97.35
9/1/2013,104
8/1/2013,104.01
7/1/2013,104.34
6/1/2013,98.58
5/1/2013,100.36
4/1/2013,100.18
3/1/2013,103.8
2/1/2013,106.23
1/1/2013,105.72
12/1/2012,99.71
11/1/2012,97.66
10/1/2012,100.05
9/1/2012,105.16
8/1/2012,102.79
7/1/2012,96.58
6/1/2012,91.61
5/1/2012,103.46
4/1/2012,114.66
3/1/2012,116.76
2/1/2012,111.9
1/1/2012,103.93
12/1/2011,103.62
11/1/2011,113.73
10/1/2011,108.39
9/1/2011,106.9
8/1/2011,95.22
7/1/2011,103.29
6/1/2011,101.79
5/1/2011,106.63
4/1/2011,115.76
3/1/2011,108.5
2/1/2011,88.57
1/1/2011,84.94
12/1/2010,83.34
11/1/2010,78.62
10/1/2010,76.45
9/1/2010,69.47
8/1/2010,70.24
7/1/2010,69.92
6/1/2010,68.27
5/1/2010,66.65
4/1/2010,76.27
3/1/2010,74.24
2/1/2010,69.64
1/1/2010,70.88
12/1/2009,66.75
11/1/2009,69.7
10/1/2009,67.65
9/1/2009,61.23
8/1/2009,62.99
7/1/2009,56.47
6/1/2009,62.2
5/1/2009,52.76
4/1/2009,43.83
3/1/2009,43.06
2/1/2009,30.12
1/1/2009,29.39
12/1/2008,27.5
11/1/2008,44.41
10/1/2008,64.45
9/1/2008,92.42
