Date,Los Angeles Reformulated RBOB Regular Gasoline Spot Price (Dollars per Gallon)
6/15/2003,1.072
7/15/2003,0.965
8/15/2003,1.315
9/15/2003,0.949
10/15/2003,0.996
11/15/2003,1.02
12/15/2003,0.959
1/15/2004,1.079
2/15/2004,1.344
3/15/2004,1.323
4/15/2004,1.426
5/15/2004,1.649
6/15/2004,1.457
7/15/2004,1.467
8/15/2004,1.388
9/15/2004,1.481
10/15/2004,1.642
11/15/2004,1.404
12/15/2004,1.185
1/15/2005,1.379
2/15/2005,1.545
3/15/2005,1.718
4/15/2005,1.829
5/15/2005,1.6
6/15/2005,1.745
7/15/2005,1.882
8/15/2005,2.142
9/15/2005,2.278
10/15/2005,1.902
11/15/2005,1.577
12/15/2005,1.606
1/15/2006,1.873
2/15/2006,1.73
3/15/2006,2
4/15/2006,2.448
5/15/2006,2.551
6/15/2006,2.401
7/15/2006,2.488
8/15/2006,2.19
9/15/2006,1.782
10/15/2006,1.686
11/15/2006,1.797
12/15/2006,1.805
1/15/2007,1.682
2/15/2007,2.019
3/15/2007,2.373
4/15/2007,2.531
5/15/2007,2.572
6/15/2007,2.354
7/15/2007,2.311
8/15/2007,2.049
9/15/2007,2.208
10/15/2007,2.394
11/15/2007,2.559
12/15/2007,2.45
1/15/2008,2.323
2/15/2008,2.609
3/15/2008,2.783
4/15/2008,3.068
5/15/2008,3.311
6/15/2008,3.694
7/15/2008,3.286
8/15/2008,3.072
9/15/2008,2.87
10/15/2008,2.125
11/15/2008,1.268
12/15/2008,1.11
1/15/2009,1.457
2/15/2009,1.547
3/15/2009,1.473
4/15/2009,1.575
5/15/2009,1.847
6/15/2009,2.085
7/15/2009,1.913
8/15/2009,2.113
9/15/2009,2.056
10/15/2009,2.032
11/15/2009,1.979
12/15/2009,2.014
1/15/2010,2.057
2/15/2010,2.073
3/15/2010,2.257
4/15/2010,2.307
5/15/2010,2.115
6/15/2010,2.255
7/15/2010,2.281
8/15/2010,2.178
9/15/2010,2.069
10/15/2010,2.259
11/15/2010,2.245
12/15/2010,2.42
1/15/2011,2.447
2/15/2011,2.758
3/15/2011,3.153
4/15/2011,3.373
5/15/2011,3.055
6/15/2011,2.861
7/15/2011,2.948
8/15/2011,2.839
9/15/2011,2.917
10/15/2011,2.949
11/15/2011,2.737
12/15/2011,2.702
1/15/2012,2.92
2/15/2012,3.302
3/15/2012,3.383
4/15/2012,3.25
5/15/2012,3.234
6/15/2012,2.626
7/15/2012,2.819
8/15/2012,3.129
9/15/2012,3.162
10/15/2012,3.135
11/15/2012,2.792
12/15/2012,2.615
1/15/2013,2.9
2/15/2013,3.332
3/15/2013,3.029
4/15/2013,2.906
5/15/2013,2.999
6/15/2013,3.021
7/15/2013,3.047
8/15/2013,2.825
9/15/2013,2.907
10/15/2013,2.761
11/15/2013,2.651
12/15/2013,2.685
1/15/2014,2.628
2/15/2014,2.869
3/15/2014,2.894
4/15/2014,3.169
5/15/2014,3.036
6/15/2014,3.116
7/15/2014,2.908
8/15/2014,2.808
9/15/2014,2.719
10/15/2014,2.338
11/15/2014,2.024
12/15/2014,1.508
1/15/2015,1.301
2/15/2015,1.942
3/15/2015,2.017
4/15/2015,2.154
5/15/2015,2.472
6/15/2015,2.187
7/15/2015,2.663
8/15/2015,2.075
9/15/2015,1.715
10/15/2015,1.669
11/15/2015,1.507
12/15/2015,1.647
1/15/2016,1.32
2/15/2016,0.97
3/15/2016,1.528
4/15/2016,1.551
5/15/2016,1.53
6/15/2016,1.642
7/15/2016,1.412
8/15/2016,1.388
9/15/2016,1.552
10/15/2016,1.619
11/15/2016,1.434
12/15/2016,1.5
1/15/2017,1.612
2/15/2017,1.756
3/15/2017,1.72
4/15/2017,1.777
5/15/2017,1.746
6/15/2017,1.619
7/15/2017,1.669
8/15/2017,1.807
9/15/2017,1.823
10/15/2017,1.761
11/15/2017,1.836
12/15/2017,1.646
1/15/2018,1.944
2/15/2018,1.877
3/15/2018,2.08
4/15/2018,2.213
5/15/2018,2.295
6/15/2018,2.136
7/15/2018,2.14
8/15/2018,2.078
9/15/2018,2.224
10/15/2018,2.254
11/15/2018,1.739
12/15/2018,1.597
1/15/2019,1.607
2/15/2019,1.817
3/15/2019,2.004
4/15/2019,2.512
5/15/2019,2.239
6/15/2019,1.851
7/15/2019,1.919
8/15/2019,1.809
9/15/2019,2.059
10/15/2019,2.219
11/15/2019,1.919
12/15/2019,1.659
1/15/2020,1.849
2/15/2020,1.851
3/15/2020,0.93
4/15/2020,0.469
5/15/2020,1.032
6/15/2020,1.301
7/15/2020,1.328
8/15/2020,1.417
9/15/2020,1.299
10/15/2020,1.247
11/15/2020,1.312
12/15/2020,1.432
1/15/2021,1.654
2/15/2021,1.822
3/15/2021,2.066
4/15/2021,2.099
5/15/2021,2.239
6/15/2021,2.311
7/15/2021,2.361
8/15/2021,2.336
9/15/2021,2.25
10/15/2021,2.535
11/15/2021,2.53
12/15/2021,2.315
1/15/2022,2.548
2/15/2022,2.818
3/15/2022,3.784
4/15/2022,3.408
5/15/2022,4.034
6/15/2022,4.27
7/15/2022,3.33
8/15/2022,3.123
9/15/2022,3.884
10/15/2022,3.227
11/15/2022,2.854
12/15/2022,2.249
1/15/2023,2.571
2/15/2023,2.907
3/15/2023,2.756
4/15/2023,2.799
5/15/2023,2.672
6/15/2023,2.802
7/15/2023,2.97
8/15/2023,3.276
9/15/2023,3.78
10/15/2023,2.635
11/15/2023,2.524
12/15/2023,2.32
1/15/2024,2.274
2/15/2024,2.555
3/15/2024,2.911
